EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C
18SN19970924, A97, 3, 1, 4, 4, 2, 19970925, 0231, 70.4533, -141.6953, 247,    176.6,  -1.0466,  33.9044, 2,  33.9335, 2,    291.4, 2,    284.1, 2,    27.65, 2,    14.52, 2,     0.01, 2,     1.49, 2,    4.813, 2,    2.360, 2,    0.227, 3,    6.793, 2,   2205.5, 2,   2279.4, 2,  -1.0512
18SN19970924, A97, 3, 1, 3, 3, 2, 19970925, 0231, 70.4533, -141.6953, 247,    195.8,  -0.6275,  34.2742, 2,  34.2809, 2,    278.2, 2,    274.4, 2,    20.84, 2,    13.79, 2,     0.02, 2,     1.22, 2,    4.300, 2,    2.050, 2,    0.210, 2,    5.300, 2,   2185.6, 2,   2283.7, 2,  -0.6336
18SN19970924, A97, 3, 1, 2, 2, 2, 19970925, 0231, 70.4533, -141.6953, 247,    219.1,  -0.1310,  34.5676, 2,  34.5673, 2,    273.1, 2,    276.0, 2,    14.35, 2,    12.96, 2,     0.03, 2,     1.03, 2,    3.910, 2,    1.910, 2,    0.180, 2,    4.320, 2,   2170.2, 2,   2275.7, 2,  -0.1388
18SN19970924, A97, 3, 1, 1, 1, 2, 19970925, 0231, 70.4533, -141.6953, 247,    238.9,   0.2563,  34.7203, 2,  34.6900, 2,    281.4, 2,    281.4, 2,    11.83, 2,    12.73, 2,     0.02, 2,     0.96, 2,    4.050, 2,    1.910, 2,    0.160, 2,    4.250, 2,   2163.2, 2,   2282.2, 2,   0.2468
18SN19970924, A97, 4, 1, 28, 28, 2, 19970925, 0451, 70.5617, -141.7222, 490,      7.3,   0.0657,  30.3545, 2,  30.3543, 2,    372.4, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,   0.0655
18SN19970924, A97, 4, 1, 27, 27, 2, 19970925, 0451, 70.5617, -141.7222, 490,      7.9,   0.0579,  30.3595, 2,  30.3568, 2,    373.6, 2,    373.7, 2,     6.06, 2,     0.64, 2,     0.02, 2,     0.81, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,   0.0577
18SN19970924, A97, 4, 1, 26, 26, 2, 19970925, 0451, 70.5617, -141.7222, 490,     21.9,  -0.7225,  31.0730, 2,  31.1272, 2,    379.9, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,    6.970, 2,    3.490, 2,    0.390, 2,    8.750, 2,   2065.5, 2,   2197.5, 2,  -0.7229
18SN19970924, A97, 4, 1, 25, 25, 2, 19970925, 0451, 70.5617, -141.7222, 490,     22.3,  -0.6364,  31.2246, 2,  31.1609, 2,    382.6, 2,    398.6, 2,     4.90, 2,     0.18, 2,     0.00, 2,     0.83, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.6369
18SN19970924, A97, 4, 1, 24, 24, 2, 19970925, 0451, 70.5617, -141.7222, 490,     42.9,  -1.1745,  32.1655, 2,  32.1297, 2,    330.2, 2,    324.9, 2,    18.28, 2,     8.47, 2,     0.07, 2,     1.42, 2,    6.980, 2,    3.110, 2,    0.320, 2,    8.490, 2,   2059.3, 2,   2201.8, 2,  -1.1754
18SN19970924, A97, 4, 1, 23, 23, 2, 19970925, 0451, 70.5617, -141.7222, 490,     61.9,  -1.3871,  32.6072, 2,  32.5862, 2,    308.2, 2,    307.0, 2,    26.63, 2,    11.81, 2,     0.07, 2,     1.63, 2,    5.370, 2,    2.570, 2,    0.180, 2,    7.890, 2,   2133.3, 2,   2230.7, 2,  -1.3883
