EXPOCODE,STNNBR,CASTNO,BTLNBR,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,THETA
,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PMOL/KG,,PMOL/KG,,FMOL/KG,,DEGC
  06MT20030626,   332,  1,      7,20030702, 45.3838, -33.1440, 3813,   3038.0,   2.8602,  34.9241,2,    1.349,2,    0.738,2,    0.189,2, 2.60851129
  06MT20030626,   332,  1,      6,20030702, 45.3838, -33.1440, 3813,   3395.6,   2.5593,  34.9162,2, -999.000,9, -999.000,9,    0.108,2, 2.27662687
  06MT20030626,   332,  1,      5,20030702, 45.3838, -33.1440, 3813,   3485.8,   2.5076,  34.9134,2, -999.000,9, -999.000,9,     -999,9, 2.21646522
  06MT20030626,   332,  1,      4,20030702, 45.3838, -33.1440, 3813,   3599.4,   2.4522,  34.9104,2, -999.000,9, -999.000,9,     -999,9, 2.15008903
  06MT20030626,   332,  1,      3,20030702, 45.3838, -33.1440, 3813,   3650.5,   2.4372,  34.9093,2, -999.000,9, -999.000,9,    0.153,2, 2.12986516
  06MT20030626,   332,  1,      2,20030702, 45.3838, -33.1440, 3813,   3692.9,   2.4304,  34.9085,2, -999.000,9, -999.000,9,     -999,9, 2.11856453
  06MT20030626,   332,  1,      1,20030702, 45.3838, -33.1440, 3813,   3693.2,   2.4298,  34.9086,2, -999.000,9, -999.000,9,     0.09,2, 2.11794634
  06MT20030626,   335,  1,     22,20030705, 59.4658, -37.5003, 3169,     14.2,   8.9186,  34.9095,2, -999.000,9, -999.000,9,     -999,9, 8.91708308
  06MT20030626,   335,  1,     21,20030705, 59.4658, -37.5003, 3169,     13.7,   8.9017,  34.9092,2, -999.000,9, -999.000,9,    1.404,2, 8.90023827
  06MT20030626,   335,  1,     20,20030705, 59.4658, -37.5003, 3169,     54.6,   6.9901,  34.9042,2, -999.000,9, -999.000,9,     1.71,2, 6.98504916
  06MT20030626,   335,  1,     19,20030705, 59.4658, -37.5003, 3169,    104.7,   5.9756,  34.9664,2,    3.834,2,    2.223,2,    1.584,2, 5.96668544
  06MT20030626,   335,  1,     18,20030705, 59.4658, -37.5003, 3169,    204.9,   5.3900,  34.9466,2,    3.851,2,    2.223,2,     -999,9, 5.37334438
  06MT20030626,   335,  1,     17,20030705, 59.4658, -37.5003, 3169,    406.1,   4.5237,  34.9113,2, -999.000,9, -999.000,9,    1.566,2, 4.49285338
  06MT20030626,   335,  1,     16,20030705, 59.4658, -37.5003, 3169,    604.0,   4.0555,  34.8982,2, -999.000,9, -999.000,9,    1.359,2, 4.01094183
  06MT20030626,   335,  1,     15,20030705, 59.4658, -37.5003, 3169,    809.5,   3.6347,  34.8705,2, -999.000,9, -999.000,9,     -999,9, 3.57640768
  06MT20030626,   335,  1,     14,20030705, 59.4658, -37.5003, 3169,   1010.9,   3.4707,  34.8640,2, -999.000,9, -999.000,9,    0.891,2, 3.39764454
  06MT20030626,   335,  1,     13,20030705, 59.4658, -37.5003, 3169,   1258.3,   3.5236,  34.8952,2, -999.000,9, -999.000,9,     -999,9, 3.42971953
  06MT20030626,   335,  1,     12,20030705, 59.4658, -37.5003, 3169,   1514.2,   3.3393,  34.8946,2,    3.135,2,    1.640,2,     0.54,2, 3.22553593
  06MT20030626,   335,  1,     11,20030705, 59.4658, -37.5003, 3169,   1770.8,   3.1905,  34.8921,2,    3.375,2,    1.867,2,     -999,9,  3.0560462
  06MT20030626,   335,  1,     10,20030705, 59.4658, -37.5003, 3169,   2024.9,   3.1395,  34.9045,2, -999.000,9, -999.000,9,     -999,9, 2.98264832
  06MT20030626,   335,  1,      9,20030705, 59.4658, -37.5003, 3169,   2279.7,   3.1023,  34.9233,2, -999.000,9, -999.000,9,    0.405,2, 2.92197874
  06MT20030626,   335,  1,      8,20030705, 59.4658, -37.5003, 3169,   2530.7,   2.9646,  34.9217,2, -999.000,9, -999.000,9,    0.324,2, 2.76233743
  06MT20030626,   335,  1,      7,20030705, 59.4658, -37.5003, 3169,   2786.5,   2.8584,  34.9288,2,    1.989,2,    1.063,2,     -999,9, 2.63262432
  06MT20030626,   335,  1,      6,20030705, 59.4658, -37.5003, 3169,   2887.8,   2.7909,  34.9260,2, -999.000,9, -999.000,9,     -999,9, 2.55621975
  06MT20030626,   335,  1,      5,20030705, 59.4658, -37.5003, 3169,   2988.1,   2.6638,  34.9163,2,    2.257,2,    1.213,2,    0.531,2, 2.42158716
  06MT20030626,   335,  1,      4,20030705, 59.4658, -37.5003, 3169,   3085.4,   2.5118,  34.9081,2, -999.000,9, -999.000,9,    0.405,2, 2.26294374
  06MT20030626,   335,  1,      3,20030705, 59.4658, -37.5003, 3169,   3133.4,   1.6635,  34.8910,2, -999.000,9, -999.000,9,    0.216,2, 1.42900251
  06MT20030626,   335,  1,      2,20030705, 59.4658, -37.5003, 3169,   3158.7,   1.4790,  34.8890,2, -999.000,9, -999.000,9,     -999,9,  1.2462633
  06MT20030626,   335,  1,      1,20030705, 59.4658, -37.5003, 3169,   3158.9,   1.4788,  34.8890,2,    3.300,2,    1.849,2,     -999,9,  1.2460484
  06MT20030626,   336,  1,     20,20030705, 59.5515, -38.3380, 3091,    104.2,   5.4341,  34.9111,2,    3.930,2,    2.322,2,     -999,9, 5.42567685
  06MT20030626,   336,  1,     19,20030705, 59.5515, -38.3380, 3091,    204.7,   4.9267,  34.9129,2, -999.000,9, -999.000,9,     -999,9, 4.91081316
  06MT20030626,   336,  1,     18,20030705, 59.5515, -38.3380, 3091,    406.2,   4.1830,  34.8835,2,    3.785,2,    2.256,2,     -999,9,  4.1532495
  06MT20030626,   336,  1,     17,20030705, 59.5515, -38.3380, 3091,    607.2,   3.9431,  34.8948,2,    3.501,2,    2.009,2,     -999,9, 3.89882791
  06MT20030626,   336,  1,     16,20030705, 59.5515, -38.3380, 3091,    808.8,   3.5914,  34.8690,2, -999.000,9, -999.000,9,     -999,9, 3.53343752
  06MT20030626,   336,  1,     15,20030705, 59.5515, -38.3380, 3091,   1012.9,   3.4452,  34.8666,2,    3.600,2,    2.036,2,     -999,9, 3.37218018
  06MT20030626,   336,  1,     14,20030705, 59.5515, -38.3380, 3091,   1264.2,   3.4671,  34.8954,2, -999.000,9, -999.000,9,     -999,9,  3.3732699
  06MT20030626,   336,  1,     13,20030705, 59.5515, -38.3380, 3091,   1518.4,   3.2448,  34.8871,2,    3.054,2,    1.630,2,     -999,9, 3.13178261
  06MT20030626,   336,  1,     12,20030705, 59.5515, -38.3380, 3091,   1767.7,   3.1915,  34.9006,2, -999.000,9, -999.000,9,     -999,9, 3.05728441
  06MT20030626,   336,  1,     11,20030705, 59.5515, -38.3380, 3091,   2023.4,   3.1359,  34.9152,2, -999.000,9, -999.000,9,     -999,9,  2.9792058
  06MT20030626,   336,  1,     10,20030705, 59.5515, -38.3380, 3091,   2023.8,   3.1361,  34.9154,2, -999.000,9, -999.000,9,     -999,9, 2.97936513
