BOTTLE,20180319PRINUNIVRMK
# Processed by CCHDO on 2021-05-17, no changes
# 03/09/2018 Initialized README file  
# Data source: J.Jackson 8/29/17  
# SHIP: R/V Knorr 
# Cruise:  
# Region: Davis Strait 
# EXPOCODE:316N20091006 
# DATES: 20091006 - 2009XXYY 
# Chief Scientist: Craig Lee 
# 99 stations with 24 place Rosette 
# CTD: Who - B. Petrie; Status - final 
# 	Includes: CTDSAL, CTDOXY 
# 	Temperature data are IPTS-68  
# 	CTDSAL are pSS-78   
# SALNTY: Who - ; Status -  
# 	Notes: 	no data in file 
# Nutrients: Who - K.Azetsu-Scott; Status - final   
#  	Includes: ammonium 
# 	Data are noisy. QC difficult 
# OXYGEN: Who - ; Status - 
# 	Notes: no data in file 
# TCARBN: Who - K.Azetsu-Scott; Status - final 
# 	Notes: 	Data are noisy. QC difficult 
# ALKALI: Who - K.Azetsu-Scott; Status - final 
# 	Notes: Data are noisy. QC difficult 
# O-18: Who - K.Azetsu-Scott; Status - final 
# 	Notes:  
# These data should be cited as: 
# References that have used data from this cruise: 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,DELO18,DELO18_FLAG_W,BTL_DATE,BTL_TIME
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,/MILLE,,,
  316N20091006, Davis,     6,  1, 358779,      5,2,20091008,0113, 67.1983, -55.3175,   77,     14.1,   3.4986,  32.9865,2,     1.50,2,     1.80,2,     0.19,2,     0.37,2,     1.02,2,   -999.0,9,   -999.0,9,  -999.00,9, 20091008,      113
  316N20091006, Davis,     6,  1, 358780,      6,2,20091008,0113, 67.1983, -55.3175,   77,      3.9,   3.4921,  32.9858,2,     1.35,2,     1.64,2,     0.19,2,     0.35,2,     1.04,2,   2078.2,2,   2155.6,2,    -0.77,2, 20091008,      113
  316N20091006, Davis,     7,  1, 358781,      1,2,20091008,0238, 67.1697, -55.8275,  115,    102.9,   3.6159,  33.3890,2,     4.05,2,     4.31,2,     0.28,2,     0.61,2,     2.53,2,   2105.5,2,   2163.5,2,    -0.61,2, 20091008,      238
  316N20091006, Davis,     7,  1, 358782,      2,2,20091008,0238, 67.1697, -55.8275,  115,     53.2,   3.7780,  33.1936,2,     2.29,2,     2.56,2,     0.22,2,     0.47,2,     1.94,2,   2062.6,2,   2186.3,2,    -0.69,2, 20091008,      238
  316N20091006, Davis,     7,  1, 358783,      3,2,20091008,0238, 67.1697, -55.8275,  115,     33.5,   3.7124,  33.1059,2,     1.67,2,     1.94,2,     0.20,2,     0.39,2,     1.49,2,   -999.0,9,   -999.0,9,  -999.00,9, 20091008,      238
  316N20091006, Davis,     7,  1, 358784,      4,2,20091008,0238, 67.1697, -55.8275,  115,     23.3,   3.6853,  33.0683,2,     1.44,2,     1.66,2,     0.19,2,     0.37,2,     1.23,2,   2084.0,2,   2130.7,2,    -0.73,2, 20091008,      238
  316N20091006, Davis,     7,  1, 358785,      5,2,20091008,0238, 67.1697, -55.8275,  115,     13.6,   3.4871,  32.9680,2,     0.83,2,     0.88,2,     0.15,2,     0.28,2,     0.75,2,   -999.0,9,   -999.0,9,  -999.00,9, 20091008,      238
  316N20091006, Davis,     7,  1, 358786,      6,2,20091008,0238, 67.1697, -55.8275,  115,      4.4,   3.4683,  32.9594,2,     0.74,2,     0.77,2,     0.15,2,     0.27,2,     0.74,2,   2050.8,2,   2137.7,2,    -0.81,2, 20091008,      238
  316N20091006, Davis,     8,  1, 358787,      1,2,20091008,0528, 67.0367, -57.0514,  701,    700.9,   3.5027,  34.7873,2,    17.56,2,    17.38,2,     0.10,2,     1.21,2,     0.19,2,   2204.0,2,   2275.0,2,     0.13,2, 20091008,      528
  316N20091006, Davis,     8,  1, 358788,      2,2,20091008,0528, 67.0367, -57.0514,  701,    601.4,   3.2674,  34.7250,2,    17.51,2,    17.27,2,     0.09,2,     1.19,2,     0.15,2,   2235.4,2,   2232.1,2,  -999.00,9, 20091008,      528
