EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,THETA
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,DEG C,/MILLE,,/MILLE,/MILLE,,DEG C
58JH1092_1, AR18, 933, 2, 17, 5, 2, 19920715, 0330, 64.0015, -4.9638, 703,    249.7,   2.0870,  34.9598, 2, -999.0000, 9,    310.3, 2,     5.66, 2,    13.20, 2,     0.01, 2,     0.96, 2,   2148.8, 2,    337.2, 2,     2.07,   -999.0, 9,   -999.0,  -999.00, 9,   2.0732
58JH1092_1, AR18, 933, 2, 16, 4, 2, 19920715, 0330, 64.0015, -4.9638, 703,    301.2,   1.5550,  34.9368, 2, -999.0000, 9,    311.0, 2,     5.82, 2,    13.32, 2,     0.01, 2,     0.95, 2,   2145.9, 2,    338.2, 2,     1.54,   -999.0, 9,   -999.0,     1.07, 2,   1.5395
58JH1092_1, AR18, 933, 2, 15, 3, 2, 19920715, 0330, 64.0015, -4.9638, 703,    400.2,   0.6870,  34.9127, 2, -999.0000, 9,    303.2, 2,     6.36, 2,    13.94, 2,     0.02, 2,     1.00, 2,   2155.8, 2,    341.1, 2,     0.67,   -999.0, 9,   -999.0,  -999.00, 9,   0.6690
58JH1092_1, AR18, 933, 2, 14, 2, 2, 19920715, 0330, 64.0015, -4.9638, 703,    501.4,   0.1760,  34.8948, 2, -999.0000, 9,    302.6, 2,     6.81, 2,    14.03, 2,     0.01, 2,     1.02, 2,   2161.2, 2,    341.2, 2,     0.16,     44.5, 2,      4.1,     1.04, 2,   0.1551
58JH1092_1, AR18, 933, 2, 13, 1, 2, 19920715, 0330, 64.0015, -4.9638, 703,    695.4,  -0.2680,  34.9025, 2,  34.9070, 2,    301.5, 2,     7.57, 2,    14.08, 2,     0.01, 2,     1.02, 2,   2170.7, 2,   -999.0, 9,  -999.00,      4.7, 2,      4.0,     1.06, 2,  -0.2956
58JH1092_1, AR18, 934, 1, 12, 12, 4, 19920715, 1040, 63.7317, -5.9492, 2372,      4.5,   8.3720,  34.9111, 2, -999.0000, 9,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,   -999.0, 9,   -999.0, 9,  -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   8.3715
58JH1092_1, AR18, 934, 1, 11, 11, 2, 19920715, 1040, 63.7317, -5.9492, 2372,     25.3,   6.4630,  34.9630, 2,  34.8650, 2,    302.9, 2,     1.71, 2,     3.57, 2,     0.11, 2,     0.46, 2,   2073.2, 2,    273.4, 2,     6.46,   -999.0, 9,   -999.0,  -999.00, 9,   6.4608
58JH1092_1, AR18, 934, 1, 10, 10, 2, 19920715, 1040, 63.7317, -5.9492, 2372,     50.1,   5.7040,  34.8387, 2, -999.0000, 9,    303.8, 2,     3.47, 2,     8.80, 2,     0.31, 2,     0.77, 2,   2113.1, 2,    316.3, 2,     5.70,   -999.0, 9,   -999.0,     1.23, 2,   5.6999
58JH1092_1, AR18, 934, 1, 9, 9, 2, 19920715, 1040, 63.7317, -5.9492, 2372,     99.4,   4.0470,  34.8842, 2, -999.0000, 9,    309.8, 2,     4.48, 2,    11.33, 2,     0.27, 2,     0.88, 2,   2130.9, 2,    331.4, 2,     4.04,   -999.0, 9,   -999.0,  -999.00, 9,   4.0401
58JH1092_1, AR18, 934, 1, 8, 8, 2, 19920715, 1040, 63.7317, -5.9492, 2372,    200.0,   1.8830,  34.8066, 2, -999.0000, 9,    322.7, 2,     5.19, 2,    12.30, 2,     0.18, 2,     1.00, 2,   2133.4, 2,    336.0, 2,     1.87,   -999.0, 9,   -999.0,     1.04, 2,   1.8724
58JH1092_1, AR18, 934, 1, 7, 7, 2, 19920715, 1040, 63.7317, -5.9492, 2372,    501.0,   0.0960,  34.8978, 2, -999.0000, 9,    304.3, 2,     6.83, 2,    13.85, 2,     0.01, 2,     1.00, 2,   2150.7, 2,    339.0, 2,     0.08,   -999.0, 9,   -999.0,  -999.00, 9,   0.0755
