EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,DEGC
  58AA19940826,   GNS,     3,  1,     11,2,19940828, 66.0020,   4.3120, 1304,     11.2,  13.2922,  34.8451,2,-999.0000,9,    271.8,2,   -999.0,9,     1.34,2,     0.35,2,     0.06,2,     0.28,2,   2032.8,2,   2351.4,2,   13.2906493
  58AA19940826,   GNS,     3,  1,     10,2,19940828, 66.0020,   4.3120, 1304,     20.6,  12.6531,  34.9472,2,-999.0000,9,    276.3,2,    276.9,2,     1.83,2,     0.08,2,     0.07,2,     0.28,2,   2042.7,2,   -999.0,9,   12.6503372
  58AA19940826,   GNS,     3,  1,      9,2,19940828, 66.0020,   4.3120, 1304,     30.8,  11.7089,  34.9949,2,-999.0000,9,    281.6,2,    278.6,2,     2.38,2,     1.75,2,     0.11,2,     0.41,2,   2067.4,2,   -999.0,9,   11.7049735
  58AA19940826,   GNS,     3,  1,      8,2,19940828, 66.0020,   4.3120, 1304,     50.2,   8.2869,  35.0898,2,-999.0000,9,    284.7,2,    277.8,2,     4.54,2,     8.28,2,     0.35,2,     0.74,2,   2112.2,2,   2366.9,2,   8.28174947
  58AA19940826,   GNS,     3,  1,      7,2,19940828, 66.0020,   4.3120, 1304,     80.8,   7.6945,  35.1921,2,-999.0000,9,    277.7,2,   -999.0,9,     6.12,2,    13.08,2,     0.07,2,     1.03,2,   2136.0,2,   2360.4,2,   7.68654161
  58AA19940826,   GNS,     3,  1,      6,2,19940828, 66.0020,   4.3120, 1304,    101.0,   7.4140,  35.1816,2,-999.0000,9,    279.6,2,    276.6,2,     6.30,2,    13.25,2,     0.08,2,     0.93,2,   2137.2,2,   -999.0,9,   7.40425462
  58AA19940826,   GNS,     3,  1,      5,2,19940828, 66.0020,   4.3120, 1304,    200.3,   6.5609,  35.1471,2,-999.0000,9,    285.7,2,    285.2,2,     6.25,2,    13.23,2,     0.07,2,     0.93,2,   2135.4,2,   2363.7,3,   6.54275013
  58AA19940826,   GNS,     3,  1,      4,2,19940828, 66.0020,   4.3120, 1304,    401.6,   4.0772,  34.9867,2,  34.9850,2,    297.6,2,    299.5,2,     6.36,2,    13.32,2,     0.07,2,     0.97,2,   2140.7,2,   -999.0,9,   4.04806558
  58AA19940826,   GNS,     3,  1,      3,2,19940828, 66.0020,   4.3120, 1304,    599.5,   0.4028,  34.9066,2,  34.9060,2,    295.6,2,    297.7,2,     8.32,2,    14.48,2,     0.07,2,     1.04,2,   2159.8,2,   -999.0,9,  0.376170817
  58AA19940826,   GNS,     3,  1,      2,2,19940828, 66.0020,   4.3120, 1304,    793.1,  -0.7606,  34.9108,2,  34.9100,2,    297.4,2,    298.1,2,    11.23,2,    14.79,2,     0.07,2,     1.09,2,   2162.3,2,   2338.5,3, -0.789561446
