EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,AMMONI,AMMONI_FLAG_W,CFC-11,CFC-11_FLAG_W,CCL4,CCL4_FLAG_W,MCHFRM,MCHFRM_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,THETA
,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,DEGC
  58JH19911105,   GNS,    16,  1,      5,19911107, 62.6000,   4.6830,  185,     75.0,  10.0800,  34.3800,2,   -999.0,9,     2.98,2,     4.67,2,     0.03,2,     0.42,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.0714
  58JH19911105,   GNS,    16,  1,      4,19911107, 62.6000,   4.6830,  185,    100.0,   9.3200,  35.0800,2,   -999.0,9,     3.80,2,     7.75,2,     0.11,2,     0.75,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.3089
  58JH19911105,   GNS,    16,  1,      3,19911107, 62.6000,   4.6830,  185,    125.0,   8.2100,  35.0300,2,   -999.0,9,     4.72,2,     9.02,2,     0.02,2,     0.81,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   8.1972
  58JH19911105,   GNS,    16,  1,      2,19911107, 62.6000,   4.6830,  185,    150.0,   7.8300,  35.1100,2,   -999.0,9,     5.60,2,    11.35,2,     0.02,2,     0.85,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   7.8150
  58JH19911105,   GNS,    16,  1,      1,19911107, 62.6000,   4.6830,  185,    175.0,-999.0000,-999.0000,9,   -999.0,9,     5.83,2,    11.17,2,     0.02,2,     0.92,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,-999.0000
  58JH19911105,   GNS,    17,  1,     10,19911107, 62.7170,   4.4330,  185,      0.0,   9.4600,  34.1700,2,   -999.0,9,     2.84,2,     4.75,2,     0.28,2,     0.64,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.4600
  58JH19911105,   GNS,    17,  1,      9,19911107, 62.7170,   4.4330,  185,     10.0,   9.5000,  34.1900,2,   -999.0,9,     2.82,2,     4.63,2,     0.28,2,     0.55,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.4989
  58JH19911105,   GNS,    17,  1,      8,19911107, 62.7170,   4.4330,  185,     20.0,   9.5700,  34.2800,2,   -999.0,9,     2.85,2,     4.76,2,     0.25,2,  -999.00,9,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.5678
  58JH19911105,   GNS,    17,  1,      7,19911107, 62.7170,   4.4330,  185,     30.0,   9.3700,  34.7600,2,   -999.0,9,     3.30,2,     5.15,2,     0.05,2,     0.58,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.3667
  58JH19911105,   GNS,    17,  1,      6,19911107, 62.7170,   4.4330,  185,     50.0,   9.3600,  35.2100,2,   -999.0,9,     3.63,2,     8.95,2,     0.28,2,     0.65,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.3545
  58JH19911105,   GNS,    17,  1,      5,19911107, 62.7170,   4.4330,  185,     75.0,   9.4700,  35.2600,2,   -999.0,9,     3.64,2,     9.03,2,     0.20,2,     0.68,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.4616
  58JH19911105,   GNS,    17,  1,      4,19911107, 62.7170,   4.4330,  185,    100.0,   9.3800,  35.3000,2,   -999.0,9,     4.40,2,    10.20,2,     0.11,2,     0.80,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.3689
  58JH19911105,   GNS,    17,  1,      3,19911107, 62.7170,   4.4330,  185,    125.0,   8.9700,  35.3200,2,   -999.0,9,     5.33,2,    12.16,2,     0.02,2,     0.84,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   8.9564
  58JH19911105,   GNS,    17,  1,      2,19911107, 62.7170,   4.4330,  185,    150.0,   8.6100,  35.2800,2,   -999.0,9,     5.41,2,    11.82,2,     0.03,2,     0.82,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   8.5941
  58JH19911105,   GNS,    17,  1,      1,19911107, 62.7170,   4.4330,  185,    175.0,   8.2800,  35.2400,2,   -999.0,9,     5.53,2,    11.76,2,     0.03,2,     0.85,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   8.2619
  58JH19911105,   GNS,    18,  2,      1,19911107, 62.7830,   4.3170,  346,      0.0,   9.1700,  34.9600,2,   -999.0,9,     3.47,2,     7.51,2,     0.35,2,     0.64,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.1700
  58JH19911105,   GNS,    18,  1,     12,19911107, 62.7830,   4.3170,  346,     10.0,   9.1700,  34.9600,2,   -999.0,9,     3.49,2,     7.57,2,     0.29,2,     0.59,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.1689
  58JH19911105,   GNS,    18,  1,     11,19911107, 62.7830,   4.3170,  346,     20.0,   9.1700,  34.9800,2,   -999.0,9,     3.48,2,     7.75,2,     0.27,2,     0.58,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.1678
  58JH19911105,   GNS,    18,  1,     10,19911107, 62.7830,   4.3170,  346,     30.0,   9.1800,  35.0100,2,   -999.0,9,     3.50,2,     7.86,2,     0.29,2,     0.61,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.1767
  58JH19911105,   GNS,    18,  1,      9,19911107, 62.7830,   4.3170,  346,     50.0,   9.3300,  35.2200,2,   -999.0,9,     3.56,2,     8.11,2,     0.29,2,     0.61,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.3245
  58JH19911105,   GNS,    18,  1,      8,19911107, 62.7830,   4.3170,  346,     75.0,   9.3900,  35.2500,2,   -999.0,9,     4.01,2,     9.40,2,     0.22,2,     0.67,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.3817
  58JH19911105,   GNS,    18,  1,      7,19911107, 62.7830,   4.3170,  346,    100.0,   9.3600,  35.3500,2,   -999.0,9,     4.87,2,    11.58,2,     0.10,2,     0.79,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.3489
  58JH19911105,   GNS,    18,  1,      6,19911107, 62.7830,   4.3170,  346,    125.0,   9.3200,  35.3500,2,   -999.0,9,     5.33,2,    11.84,2,     0.01,2,     0.80,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.3061
  58JH19911105,   GNS,    18,  1,      5,19911107, 62.7830,   4.3170,  346,    150.0,   9.0100,  35.3300,2,   -999.0,9,     5.38,2,    11.97,2,     0.01,2,     0.82,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   8.9937
  58JH19911105,   GNS,    18,  1,      4,19911107, 62.7830,   4.3170,  346,    200.0,   8.3600,  35.2600,2,   -999.0,9,     5.60,2,    12.26,2,     0.01,2,     0.85,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   8.3391
  58JH19911105,   GNS,    18,  1,      3,19911107, 62.7830,   4.3170,  346,    250.0,   7.8400,  35.2300,2,   -999.0,9,     6.02,2,    12.84,2,     0.03,2,     0.91,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   7.8148
  58JH19911105,   GNS,    18,  1,      2,19911107, 62.7830,   4.3170,  346,    300.0,   7.7800,  35.2300,2,   -999.0,9,     6.13,2,    12.83,2,     0.03,2,     0.91,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   7.7498
  58JH19911105,   GNS,    18,  1,      1,19911107, 62.7830,   4.3170,  346,    335.0,   7.6800,  35.2300,2,   -999.0,9,     6.15,2,    12.87,2,     0.02,2,     0.91,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   7.6465
  58JH19911105,   GNS,    19,  2,      1,19911107, 62.9000,   4.0500,  722,      0.0,   9.0300,  35.1800,2,   -999.0,9,     3.52,2,     7.88,2,     0.29,2,     0.68,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.0300
  58JH19911105,   GNS,    19,  1,     12,19911107, 62.9000,   4.0500,  722,     10.0,   9.0300,  35.1800,2,   -999.0,9,     3.49,2,     8.10,2,     0.30,2,     0.64,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.0289
  58JH19911105,   GNS,    19,  1,     11,19911107, 62.9000,   4.0500,  722,     20.0,   9.0300,  35.1800,2,   -999.0,9,     3.49,2,     8.05,2,     0.30,2,     0.52,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.0278
  58JH19911105,   GNS,    19,  1,     10,19911107, 62.9000,   4.0500,  722,     30.0,   9.0600,  35.1900,2,   -999.0,9,     3.48,2,     8.25,2,     0.29,2,     0.53,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.0567
  58JH19911105,   GNS,    19,  1,      9,19911107, 62.9000,   4.0500,  722,     50.0,   9.0600,  35.1900,2,   -999.0,9,     3.52,2,     8.42,2,     0.31,2,     0.63,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.0546
  58JH19911105,   GNS,    19,  1,      8,19911107, 62.9000,   4.0500,  722,     75.0,   9.0700,  35.1900,2,   -999.0,9,     3.54,2,     8.58,2,     0.31,2,     0.63,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.0618
  58JH19911105,   GNS,    19,  1,      7,19911107, 62.9000,   4.0500,  722,    100.0,   9.1200,  35.2100,2,   -999.0,9,     3.58,2,     8.55,2,     0.01,2,     0.62,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.1091
  58JH19911105,   GNS,    19,  1,      6,19911107, 62.9000,   4.0500,  722,    150.0,   9.4200,  35.3800,2,   -999.0,9,     5.35,2,    12.17,2,     0.01,2,     0.80,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.4032
  58JH19911105,   GNS,    19,  1,      5,19911107, 62.9000,   4.0500,  722,    200.0,   9.1800,  35.3500,2,   -999.0,9,     5.37,2,    12.40,2,     0.01,2,     0.83,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.1579
  58JH19911105,   GNS,    19,  1,      4,19911107, 62.9000,   4.0500,  722,    300.0,   8.1900,  35.2600,2,   -999.0,9,     5.74,2,    12.71,2,     0.00,2,     0.88,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   8.1589
  58JH19911105,   GNS,    19,  1,      3,19911107, 62.9000,   4.0500,  722,    500.0,   5.0200,  35.0400,2,   -999.0,9,     6.58,2,    13.25,2,     0.01,2,     0.96,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   4.9796
  58JH19911105,   GNS,    19,  1,      2,19911107, 62.9000,   4.0500,  722,    600.0,   1.2100,  34.9100,2,   -999.0,9,     8.13,2,    13.93,2,     0.00,2,     0.99,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   1.1794
  58JH19911105,   GNS,    19,  1,      1,19911107, 62.9000,   4.0500,  722,    700.0,  -0.8500,  34.9000,2,   -999.0,9,    11.75,2,    14.30,2,     0.00,2,  -999.00,9,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  -0.8744
  58JH19911105,   GNS,    20,  2,      1,19911107, 62.9500,   3.9170,  815,      0.0,   9.1500,  35.2200,2,   -999.0,9,     3.76,2,     9.03,2,     0.26,2,  -999.00,9,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.1500
  58JH19911105,   GNS,    20,  1,     12,19911107, 62.9500,   3.9170,  815,     10.0,   9.1600,  35.2200,2,   -999.0,9,     3.73,2,     8.90,2,     0.26,2,     0.61,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.1589
  58JH19911105,   GNS,    20,  1,     11,19911107, 62.9500,   3.9170,  815,     20.0,   9.1600,  35.2200,2,   -999.0,9,     3.74,2,     8.95,2,     0.26,2,     0.67,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.1578
  58JH19911105,   GNS,    20,  1,     10,19911107, 62.9500,   3.9170,  815,     30.0,   9.1600,  35.2200,2,   -999.0,9,     3.73,2,     8.98,2,     0.23,2,     0.64,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.1567
  58JH19911105,   GNS,    20,  1,      9,19911107, 62.9500,   3.9170,  815,     50.0,   9.1600,  35.2200,2,   -999.0,9,     3.76,2,     8.96,2,     0.25,2,     0.64,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.1545
  58JH19911105,   GNS,    20,  1,      8,19911107, 62.9500,   3.9170,  815,     75.0,   9.1700,  35.2200,2,   -999.0,9,     3.76,2,     8.93,2,     0.26,2,     0.64,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.1618
  58JH19911105,   GNS,    20,  1,      7,19911107, 62.9500,   3.9170,  815,    100.0,   9.1800,  35.2300,2,   -999.0,9,     3.72,2,     8.87,2,     0.25,2,     0.64,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.1690
  58JH19911105,   GNS,    20,  1,      6,19911107, 62.9500,   3.9170,  815,    150.0,   9.4400,  35.3800,2,   -999.0,9,     5.26,2,    12.29,2,     0.01,2,     0.84,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.4232
  58JH19911105,   GNS,    20,  1,      5,19911107, 62.9500,   3.9170,  815,    200.0,   9.0500,  35.3400,2,   -999.0,9,     5.32,2,    12.65,2,     0.02,2,     0.86,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.0281
  58JH19911105,   GNS,    20,  1,      4,19911107, 62.9500,   3.9170,  815,    300.0,   8.0900,  35.2400,2,   -999.0,9,     5.70,2,    12.75,2,     0.02,2,     0.86,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   8.0591
  58JH19911105,   GNS,    20,  1,      3,19911107, 62.9500,   3.9170,  815,    500.0,   4.8000,  35.0100,2,   -999.0,9,     6.60,2,    13.43,2,     0.02,2,     0.94,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   4.7605
  58JH19911105,   GNS,    20,  1,      2,19911107, 62.9500,   3.9170,  815,    600.0,   0.9200,  34.9100,2,   -999.0,9,     8.14,2,    14.24,2,     0.01,2,     1.02,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   0.8908
  58JH19911105,   GNS,    20,  1,      1,19911107, 62.9500,   3.9170,  815,    790.0,  -0.8800,  34.9100,2,   -999.0,9,    11.64,2,    14.43,2,     0.01,2,  -999.00,9,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  -0.9080
