EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,DEGC
  58JH19940525,   75N,   313,  1,      0,      1,2,19940527, 68.0000,   8.3333, 2561,    500.0,   3.2230,  34.9910,2,    300.4,2,     5.80,2,    13.50,2,     0.02,2,     0.97,2,   -999.0,9,   -999.0,9,   3.1867
  58JH19940525,   75N,   314,  1,      1,     12,2,19940527, 68.5000,   7.5000, 3000,      5.0,   6.8100,  35.0900,2,    305.9,2,     3.80,2,     7.30,2,     0.11,2,     0.60,2,   -999.0,9,   -999.0,9,   6.8095
  58JH19940525,   75N,   314,  1,      2,     11,2,19940527, 68.5000,   7.5000, 3000,     10.0,   6.5500,  35.0880,2,    317.3,2,     3.80,2,     7.30,2,     0.11,2,     0.62,2,   -999.0,9,   -999.0,9,   6.5491
  58JH19940525,   75N,   314,  1,      3,     10,2,19940527, 68.5000,   7.5000, 3000,     20.0,   6.5800,  35.0880,2,    318.6,2,     3.80,2,     7.60,2,     0.13,2,     0.62,2,   -999.0,9,   -999.0,9,   6.5782
  58JH19940525,   75N,   314,  1,      4,      8,2,19940527, 68.5000,   7.5000, 3000,     50.0,   6.1500,  35.0980,2,    305.0,2,     4.60,2,     9.60,2,     0.17,2,     0.77,2,   -999.0,9,   -999.0,9,   6.1457
  58JH19940525,   75N,   314,  1,      5,      1,2,19940527, 68.5000,   7.5000, 3000,     75.0,   4.2700,  35.0640,2,    299.6,2,     4.90,2,    11.00,2,     0.26,2,     0.83,2,   -999.0,9,   -999.0,9,   5.9636
  58JH19940525,   75N,   314,  1,      6,      7,2,19940527, 68.5000,   7.5000, 3000,    100.0,   5.9700,  35.0920,2,    294.6,2,     5.00,2,    12.30,2,     0.20,2,     0.88,2,   -999.0,9,   -999.0,9,   5.7816
  58JH19940525,   75N,   314,  1,      7,      6,2,19940527, 68.5000,   7.5000, 3000,    150.0,   5.7900,  35.0720,2,    296.4,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,   5.3978
  58JH19940525,   75N,   314,  1,      8,      5,2,19940527, 68.5000,   7.5000, 3000,    200.0,   5.4100,  35.0550,2,    297.3,2,     5.10,2,    12.50,2,     0.14,2,     0.89,2,   -999.0,9,   -999.0,9,   5.1241
  58JH19940525,   75N,   314,  1,      9,      4,2,19940527, 68.5000,   7.5000, 3000,    300.0,   5.1400,  35.0440,2,    300.4,2,     5.30,2,    12.60,2,     0.06,2,     0.90,2,   -999.0,9,   -999.0,9,   4.5373
  58JH19940525,   75N,   314,  1,     10,      3,2,19940527, 68.5000,   7.5000, 3000,    500.0,   4.5600,  35.0440,2,    302.3,2,     5.30,2,    12.70,2,     0.01,2,     0.91,2,   -999.0,9,   -999.0,9,   4.2325
  58JH19940525,   75N,   315,  1,     11,     11,2,19940527, 69.0000,   6.6667, 3197,     10.0,   6.6410,  35.1060,2,    316.4,2,     3.60,2,     7.00,2,     0.10,2,     0.60,2,   -999.0,9,   -999.0,9,   6.6391
