EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,DEGC
  74JC19960720,   GNS,     9,  1,     22,2,19960726,1419, 74.0500,  -6.4100, 3425,     15.7,  -0.1280,  33.8560,2,  33.9500,2,    358.3,3,     3.41,2,     2.93,2,     0.32,2, -999.000,   9, -999.000,   9, -999.000,   9, -999.000,   9,     1.35,   2,   2041.9,2,   2237.0,2,  -0.1285
  74JC19960720,   GNS,     9,  1,     21,2,19960726,1419, 74.0500,  -6.4100, 3425,     25.6,  -1.2200,  34.3240,2,  34.4700,2,    317.4,3,     4.68,2,     9.56,2,     0.66,2, -999.000,   9, -999.000,   9, -999.000,   9, -999.000,   9,     1.62,   2,   2109.2,2,   2257.0,2,  -1.2206
  74JC19960720,   GNS,     9,  1,     20,2,19960726,1419, 74.0500,  -6.4100, 3425,     46.1,  -0.7700,  34.6040,2,  34.6530,2,    312.6,3,     4.88,2,    11.12,2,     0.71,2, -999.000,   9, -999.000,   9, -999.000,   9, -999.000,   9,     1.37,   2,   2124.3,2,   2267.0,2,  -0.7713
  74JC19960720,   GNS,     9,  1,     19,2,19960726,1419, 74.0500,  -6.4100, 3425,     69.5,  -1.0950,  34.7210,2,  34.7430,2,    298.7,3,     4.98,2,    13.85,2,     1.01,3, -999.000,   9, -999.000,   9, -999.000,   9, -999.000,   9,     1.59,   2,   2142.7,2,   2272.0,2,  -1.0968
  74JC19960720,   GNS,     9,  1,     18,2,19960726,1419, 74.0500,  -6.4100, 3425,     95.6,  -0.7470,  34.7270,2,  34.7790,2,    287.4,3,     5.56,2,    14.83,2,     0.88,2, -999.000,   9, -999.000,   9, -999.000,   9, -999.000,   9,     1.17,   2,   2148.2,2,   2270.0,2,  -0.7499
  74JC19960720,   GNS,     9,  1,     17,2,19960726,1419, 74.0500,  -6.4100, 3425,    120.5,  -0.8240,  34.7870,2,  34.8050,2,    283.0,3,     5.46,2,    15.22,2,     0.88,2, -999.000,   9, -999.000,   9, -999.000,   9, -999.000,   9,     1.34,   2,   2150.0,2,   2271.0,2,  -0.8276
  74JC19960720,   GNS,     9,  1,     16,2,19960726,1419, 74.0500,  -6.4100, 3425,    146.1,  -0.5560,  34.8220,2,  34.8350,2,    287.4,3,     5.66,2,    15.22,2,     0.90,2, -999.000,   9, -999.000,   9, -999.000,   9, -999.000,   9,     1.32,   2,   2153.5,2,   2279.0,2,  -0.5607
  74JC19960720,   GNS,     9,  1,     15,2,19960726,1419, 74.0500,  -6.4100, 3425,    195.4,  -0.1900,  34.8680,2,  34.8750,2,    272.6,3,     5.85,2,    15.32,2,     0.89,2, -999.000,   9, -999.000,   9, -999.000,   9, -999.000,   9,     0.83,   2,   2157.7,2,   2278.0,2,  -0.1970
  74JC19960720,   GNS,     9,  1,     14,2,19960726,1419, 74.0500,  -6.4100, 3425,    246.7,  -0.3060,  34.8770,2,  34.8820,2,    277.8,3,     6.05,2,    15.61,2,     0.91,2, -999.000,   9, -999.000,   9, -999.000,   9, -999.000,   9,      0.9,   2,   2160.5,2,   2277.0,2,  -0.3147
  74JC19960720,   GNS,     9,  1,     13,2,19960726,1419, 74.0500,  -6.4100, 3425,    296.5,  -0.4020,  34.8820,2,  34.8860,2,    276.1,3,     6.34,2,    15.61,2,     0.91,2, -999.000,   9, -999.000,   9, -999.000,   9, -999.000,   9,     -999,   9,   2160.7,2,   2279.0,2,  -0.4124
  74JC19960720,   GNS,     9,  1,     12,2,19960726,1419, 74.0500,  -6.4100, 3425,    397.3,  -0.5770,  34.8790,2,  34.8840,2,    280.4,3,     6.44,2,    15.71,2,     0.98,3, -999.000,   9, -999.000,   9, -999.000,   9, -999.000,   9,     -999,   9,   2159.5,2,   2278.0,2,  -0.5907
  74JC19960720,   GNS,     9,  1,     11,2,19960726,1419, 74.0500,  -6.4100, 3425,    497.9,  -0.6520,  34.8780,2,  34.8870,2,    275.2,3,     7.02,2,    15.90,2,     0.93,2, -999.000,   9, -999.000,   9, -999.000,   9, -999.000,   9,     0.83,   2,   2161.4,2,   2280.0,2,  -0.6693
  74JC19960720,   GNS,     9,  1,     10,2,19960726,1419, 74.0500,  -6.4100, 3425,    749.2,  -0.8550,  34.8760,2,  34.8810,2,    276.1,3,     7.02,2,    16.59,2,     0.94,2, -999.000,   9, -999.000,   9, -999.000,   9, -999.000,   9,     0.83,   2,   2162.4,2,   2277.0,2,  -0.8814
  74JC19960720,   GNS,     9,  1,      9,2,19960726,1419, 74.0500,  -6.4100, 3425,   1001.7,  -0.8770,  34.8790,2,  34.8840,2,    280.9,3,     7.41,2,    16.20,2,     0.91,2, -999.000,   9, -999.000,   9, -999.000,   9, -999.000,   9,     -999,   9,   2161.3,2,   2278.0,2,  -0.9145
  74JC19960720,   GNS,     9,  1,      8,2,19960726,1419, 74.0500,  -6.4100, 3425,   1254.3,  -0.7680,  34.8950,2,  34.9010,2,    266.1,3,     9.27,2,    17.07,2,     0.98,2, -999.000,   9, -999.000,   9, -999.000,   9, -999.000,   9,     -999,   9,   2160.9,2,   2282.0,2,  -0.8190
  74JC19960720,   GNS,     9,  1,      7,2,19960726,1419, 74.0500,  -6.4100, 3425,   1505.8,  -0.8150,  34.9010,2,  34.9060,2,    259.1,3,    10.15,2,    18.54,3,     1.06,3, -999.000,   9, -999.000,   9, -999.000,   9, -999.000,   9,     0.15,   2,   2161.2,2,   2281.0,2,  -0.8790
