EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C
  58GS20060721,   75N,   255,  1,      8,2,20060724,1520, 75.0000, -11.8000, 1945,    499.9,   0.0583,  34.9220,2,  34.9197,2,    317.7,2,    318.1,2,     6.38,2,    12.97,2,     0.00,2,     0.85,2,    5.007,2,    2.405,2,   2159.1,2,   2312.9,2,   0.0380
  58GS20060721,   75N,   255,  1,      9,9,20060724,1520, 75.0000, -11.8000, 1945,    499.9,   0.0568,  34.9220,2,-999.0000,9,    317.7,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   0.0365
  58GS20060721,   75N,   255,  1,     10,2,20060724,1520, 75.0000, -11.8000, 1945,    400.9,   0.3377,  34.9300,2,  34.9297,2,    323.6,2,    323.4,2,     5.85,2,    12.62,2,     0.02,2,     0.83,2,    5.635,2,    2.715,2,   2158.1,2,   2301.0,2,   0.3208
  58GS20060721,   75N,   255,  1,     11,2,20060724,1520, 75.0000, -11.8000, 1945,    300.9,   0.6811,  34.9340,2,  34.9327,2,    316.4,2,    316.2,2,     5.95,2,    12.38,2,     0.10,2,     0.83,2,    5.157,2,    2.479,2,   2156.4,2,   2304.7,2,   0.6678
  58GS20060721,   75N,   255,  1,     12,2,20060724,1520, 75.0000, -11.8000, 1945,    199.5,   1.4892,  34.9750,2,  34.9704,2,    318.6,2,    318.2,2,     5.60,2,    11.61,2,     0.21,2,     0.79,2,    5.529,2,    2.829,2,   2153.3,2,   2308.5,2,   1.4792
  58GS20060721,   75N,   255,  1,     13,2,20060724,1520, 75.0000, -11.8000, 1945,    149.4,   1.9952,  35.0050,2,  35.0034,2,    317.0,2,    316.3,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    5.615,2,    2.883,2,   2151.9,2,   2308.7,2,   1.9872
  58GS20060721,   75N,   255,  1,     14,2,20060724,1520, 75.0000, -11.8000, 1945,    149.4,   1.9981,  35.0050,2,  35.0024,2,    316.9,2,    316.3,2,     5.39,2,    11.52,2,     0.25,2,     0.77,2,    5.632,2,    2.781,2,   2152.1,2,   2311.3,2,   1.9901
  58GS20060721,   75N,   255,  1,     15,2,20060724,1520, 75.0000, -11.8000, 1945,     99.9,   2.4604,  35.0280,2,  35.0255,2,    313.4,2,    313.0,2,     5.23,2,    11.82,2,     0.11,2,     0.75,2,    5.637,2,    2.938,2,   2152.2,2,   2312.8,2,   2.4547
  58GS20060721,   75N,   255,  1,     16,2,20060724,1520, 75.0000, -11.8000, 1945,     75.3,   2.6273,  35.0310,2,  35.0297,2,    313.5,2,    312.8,2,     5.12,2,    11.55,2,     0.26,2,     0.72,2, -999.000,9, -999.000,9,   2152.5,2,   2308.8,2,   2.6229
  58GS20060721,   75N,   255,  1,     17,2,20060724,1520, 75.0000, -11.8000, 1945,     49.9,   2.7818,  35.0110,2,  35.0110,2,    313.5,2,    312.3,2,     5.08,2,    10.48,2,     0.36,2,     0.69,2,    5.697,2,    2.969,2,   2147.6,2,   2306.0,2,   2.7788
  58GS20060721,   75N,   255,  1,     18,2,20060724,1520, 75.0000, -11.8000, 1945,     34.6,   2.9849,  34.9590,2,  34.9586,2,    324.6,2,    322.8,2,     4.45,2,     7.30,2,     0.18,2,     0.62,2,    5.846,2,    2.955,2,   2133.9,2,   2307.3,2,   2.9828
