EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,DEG C
58AA19950217, 75N, 5, 1, 7662, 2, 19950225, 0000, 75.0000, -7.9970, 3342,   1601.9,  -0.8890,  34.9100, 2,  34.9090, 2,    299.0, 2,    10.90, 2,    13.20, 2,     0.07, 2,     0.95, 2, -999.000, 9, -999.000, 9, -999.000, 9,   2144.1, 2,   2274.0, 2,    7.6871, 2,     25.00,  -0.9575
58AA19950217, 75N, 5, 1, 7663, 2, 19950225, 0000, 75.0000, -7.9970, 3342,   2001.0,  -0.9420,  34.9090, 2, -999.0000, 9,    301.6, 2,    11.20, 2,    13.90, 2,     0.08, 2,     0.99, 3,    0.840, 2,    1.070, 2,    0.000, 2,   2148.8, 2,   2270.0, 2,    7.6880, 2,     25.00,  -1.0338
58AA19950217, 75N, 5, 1, 7664, 2, 19950225, 0000, 75.0000, -7.9970, 3342,   2398.1,  -0.9760,  34.9070, 2,  34.9070, 2,    302.9, 2,    11.20, 2,    13.40, 2,     0.07, 2,     0.99, 2,    0.920, 2,    0.750, 2,    0.000, 2,   2147.9, 2,   2265.0, 2,    7.6881, 2,     25.00,  -1.0936
58AA19950217, 75N, 5, 1, 7665, 2, 19950225, 0000, 75.0000, -7.9970, 3342,   2702.2,  -0.9850,  34.9060, 2, -999.0000, 9,    303.4, 2,    11.30, 2,    13.50, 2,     0.07, 2,     0.93, 3,    0.780, 2,    0.350, 2,    0.000, 2,   2148.5, 2,   2281.0, 2,    7.6909, 2,     25.00,  -1.1244
58AA19950217, 75N, 5, 1, 7666, 2, 19950225, 0000, 75.0000, -7.9970, 3342,   3000.2,  -0.9860,  34.9050, 2,  34.9040, 2,    305.1, 2,    11.60, 2,    13.00, 2,     0.07, 2,     0.95, 2,    0.780, 2,    0.360, 2,    0.000, 2,   2148.0, 2,   2283.0, 2,    7.6890, 2,     25.00,  -1.1483
58AA19950217, 75N, 5, 1, 7667, 2, 19950225, 0000, 75.0000, -7.9970, 3342,   3098.5,  -0.9890,  34.9040, 2, -999.0000, 9,    305.1, 2,    11.50, 2,    12.90, 2,     0.07, 2,     0.95, 2,    0.690, 2,    0.470, 2,    0.000, 2,   2148.3, 2,   2283.0, 2,    7.6900, 2,     25.00,  -1.1591
58AA19950217, 75N, 5, 1, 7668, 2, 19950225, 0000, 75.0000, -7.9970, 3342,   3229.4,  -0.9940,  34.9030, 2,  34.9020, 2,    306.0, 2,    11.70, 2,    13.10, 2,     0.07, 2,     0.95, 2,    0.780, 2,    0.440, 2,    0.000, 2,   2133.3, 3,   2286.0, 2,    7.6880, 2,     25.00,  -1.1747
58AA19950217, 75N, 6, 1, 7669, 2, 19950225, 0000, 75.0050, -7.0180, 3228,    802.3,  -0.9770,  34.8770, 2,  34.8780, 2,    331.6, 2,     7.10, 2,    11.50, 2,     0.07, 2,     0.94, 2,    4.660, 2,    2.670, 2,    0.360, 2,   2145.6, 2,   -999.0, 9,    7.7092, 2,     25.00,  -1.0049
58AA19950217, 75N, 6, 1, 7670, 2, 19950225, 0000, 75.0050, -7.0180, 3228,   1002.6,  -0.9700,  34.8770, 2,  34.8780, 2,    332.9, 2,     7.10, 2,    11.50, 2,     0.07, 2,     0.93, 2,    4.660, 2,    2.160, 2,    0.290, 2,   2144.6, 2,   2284.0, 2,    7.7093, 2,     25.00,  -1.0067
58AA19950217, 75N, 6, 1, 7671, 2, 19950225, 0000, 75.0050, -7.0180, 3228,   1297.2,  -0.7660,  34.9050, 2,  34.9050, 2,    303.4, 2,     9.40, 2,    12.50, 2,     0.07, 2,     0.99, 2,    1.740, 2,    0.870, 2,    0.000, 2,   2146.1, 2,   2274.0, 2,    7.7064, 2,     25.00,  -0.8192
58AA19950217, 75N, 6, 1, 7672, 2, 19950225, 0000, 75.0050, -7.0180, 3228,   1500.2,  -0.8670,  34.9060, 2,  34.9060, 2,    303.8, 2,     9.80, 2,    12.00, 2,     0.07, 2,     1.03, 2,    1.410, 2,    1.110, 2,    0.000, 2,   2146.7, 2,   2272.0, 2,    7.7112, 2,     25.00,  -0.9301
