EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C
  90JS20080815,ISSS08,     4,  1,      2,2,20080823,   0, 75.9870, 129.9840,   74,      4.0,   5.8000,  13.3000,2,-999.0000,9,    353.1,2,    27.60,2,     0.30,2,     0.00,2,     -999,9,    6.600,2,    3.260,2,    0.430,2,    7.280,2,   1262.1,2,   1314.9,2,   7.6800,2,    15.00
  90JS20080815,ISSS08,     4,  1,      1,2,20080823,   0, 75.9870, 129.9840,   74,      4.0,   5.8000,  13.4000,2,-999.0000,9,    352.2,2,    28.00,2,     0.30,2,     0.00,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   1257.8,2,   1314.5,2,   7.6800,2,    15.00
  90JS20080815,ISSS08,     5,  1,      7,2,20080824,   0, 75.2660, 130.0160,   53,     43.3,  -1.6000,  32.7000,2,-999.0000,9,    281.8,2,    13.60,2,     5.80,2,     0.39,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   2231.7,2,   2231.0,2,   7.6200,2,    15.00
  90JS20080815,ISSS08,     5,  1,      6,2,20080824,   0, 75.2660, 130.0160,   53,     39.0,  -1.6000,  32.2000,2,-999.0000,9,    322.4,2,     9.40,2,     3.90,2,     0.45,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   2203.4,2,   2223.7,2,   7.6800,2,    15.00
  90JS20080815,ISSS08,     5,  1,      5,2,20080824,   0, 75.2660, 130.0160,   53,     30.2,  -1.6000,  32.0000,2,-999.0000,9,    343.7,2,     6.30,2,     2.70,2,     0.52,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   2185.0,2,   2212.8,2,   7.7200,2,    15.00
  90JS20080815,ISSS08,     5,  1,      4,2,20080824,   0, 75.2660, 130.0160,   53,     20.8,  -1.5000,  31.4000,2,-999.0000,9,   -999.0,9,     5.60,2,     1.20,2,     0.60,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   2147.0,2,   2178.2,2,   7.7300,2,    15.00
  90JS20080815,ISSS08,     5,  1,      3,2,20080824,   0, 75.2660, 130.0160,   53,     15.3,  -1.2000,  28.7000,2,-999.0000,9,   -999.0,9,    13.60,2,     1.00,2,     0.63,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   2148.4,2,   2166.4,2,   7.7000,2,    15.00
  90JS20080815,ISSS08,     5,  1,      2,2,20080824,   0, 75.2660, 130.0160,   53,     10.6,  -0.9000,  26.6000,2,-999.0000,9,    367.8,2,    19.30,2,     1.00,2,     0.67,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   2087.9,2,   2099.5,2,   7.6900,2,    15.00
  90JS20080815,ISSS08,     5,  1,      1,2,20080824,   0, 75.2660, 130.0160,   53,      4.7,   6.0000,   8.6000,2,-999.0000,9,    363.0,2,    36.30,2,     0.40,2,     0.07,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   1134.5,2,   1135.7,2,   7.6300,2,    15.00
  90JS20080815,ISSS08,     6,  1,      6,2,20080824,   0, 74.7240, 130.0160,   42,     32.0,  -1.6000,  32.3000,2,-999.0000,9,    274.4,2,    13.60,2,     4.50,2,     0.67,2,     -999,9,    9.260,2,    3.940,2,    0.550,2,    6.130,2,   2210.1,2,   2239.9,2,   7.5500,2,    15.00
