EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C
58AA19961121, 75N, 8, 1, 8168, 2, 19961122, 0000, 75.0000, -2.0000, 3524,    155.0,  -0.2276,  34.8678, 2,    314.6, 2,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.2330
58AA19961121, 75N, 8, 1, 8169, 2, 19961122, 0000, 75.0000, -2.0000, 3524,    180.2,  -0.2287,  34.8770, 2,    325.4, 2,     3.59, 2,     9.14, 2,  -999.00, 9,     0.54, 2,    4.710, 2,    2.070, 2,   2151.6, 2,   2283.6, 3,  -0.2351
58AA19961121, 75N, 8, 1, 8170, 2, 19961122, 0000, 75.0000, -2.0000, 3524,    204.1,  -0.4638,  34.8713, 2,    327.7, 2,     2.14, 2,     7.27, 2,  -999.00, 9,     0.46, 2,    4.890, 2,    2.270, 2,   2154.1, 2,   2285.5, 3,  -0.4706
58AA19961121, 75N, 8, 1, 8171, 2, 19961122, 0000, 75.0000, -2.0000, 3524,    228.1,  -0.4917,  34.8773, 2,    326.8, 2,     5.30, 2,    10.16, 2,  -999.00, 9,     0.61, 2,    4.920, 2,    2.250, 2,   2155.0, 2,   2279.7, 3,  -0.4993
58AA19961121, 75N, 8, 1, 8172, 2, 19961122, 0000, 75.0000, -2.0000, 3524,    254.3,  -0.4917,  34.8795, 2,    328.2, 2,     5.43, 2,    10.15, 2,  -999.00, 9,     0.61, 2,    4.860, 2,    2.270, 2,   2153.5, 2,   2283.3, 3,  -0.5003
58AA19961121, 75N, 8, 1, 8173, 2, 19961122, 0000, 75.0000, -2.0000, 3524,    277.6,  -0.5533,  34.8791, 2,    327.7, 2,     5.14, 2,    10.15, 2,  -999.00, 9,     0.60, 2,    4.860, 2,    2.260, 2,   2141.4, 3,   2283.1, 3,  -0.5626
58AA19961121, 75N, 8, 1, 8174, 2, 19961122, 0000, 75.0000, -2.0000, 3524,    304.5,  -0.5889,  34.8792, 2,    326.4, 2,     4.57, 2,     9.99, 2,  -999.00, 9,     0.54, 2,    4.700, 2,    2.250, 2,   2154.4, 2,   2282.6, 3,  -0.5991
58AA19961121, 75N, 8, 1, 8175, 2, 19961122, 0000, 75.0000, -2.0000, 3524,    328.0,  -0.6282,  34.8796, 2,    327.3, 2,     1.71, 2,     6.74, 2,  -999.00, 9,     0.32, 2,    4.820, 2,    2.180, 2,   2155.6, 2,   2280.6, 3,  -0.6391
58AA19961121, 75N, 8, 1, 8176, 2, 19961122, 0000, 75.0000, -2.0000, 3524,    344.8,  -0.6437,  34.8794, 2,    328.2, 2,     3.77, 2,     9.72, 2,  -999.00, 9,     0.51, 2, -999.000, 9, -999.000, 9,   2153.3, 2,   2286.4, 3,  -0.6552
58AA19961121, 75N, 8, 1, 8177, 2, 19961122, 0000, 75.0000, -2.0000, 3524,    356.3,  -0.6523,  34.8801, 2,    330.0, 2,     2.87, 2,     7.94, 2,  -999.00, 9,     0.49, 2,    4.950, 2,    2.390, 2,   -999.0, 9,   2283.3, 3,  -0.6642
